DY,MO,YEAR,pm25
6,9,2019,58
7,9,2019,69
8,9,2019,74
9,9,2019,68
10,9,2019,80
11,9,2019,76
12,9,2019,89
13,9,2019,76
14,9,2019,70
15,9,2019,52
16,9,2019,57
17,9,2019,48
18,9,2019,50
19,9,2019,73
20,9,2019,132
21,9,2019,120
22,9,2019,126
23,9,2019,98
24,9,2019,120
25,9,2019,94
26,9,2019,104
27,9,2019,115
28,9,2019,118
29,9,2019,88
30,9,2019,102
1,4,2019,70
2,4,2019,76
3,4,2019,82
4,4,2019,77
5,4,2019,76
6,4,2019,78
7,4,2019,69
8,4,2019,59
9,4,2019,47
10,4,2019,35
11,4,2019,44
12,4,2019,44
13,4,2019,47
14,4,2019,38
15,4,2019,40
16,4,2019,57
17,4,2019,59
18,4,2019,64
19,4,2019,14
20,4,2019,15
21,4,2019,17
22,4,2019,38
23,4,2019,67
24,4,2019,73
25,4,2019,75
26,4,2019,61
27,4,2019,64
28,4,2019,74
29,4,2019,93
30,4,2019,56
1,5,2019,64
2,5,2019,64
3,5,2019,90
4,5,2019,66
5,5,2019,73
6,5,2019,66
7,5,2019,69
8,5,2019,67
9,5,2019,80
10,5,2019,87
11,5,2019,109
12,5,2019,95
13,5,2019,73
14,5,2019,76
15,5,2019,83
16,5,2019,67
17,5,2019,65
18,5,2019,60
19,5,2019,56
20,5,2019,63
21,5,2019,69
22,5,2019,82
2,6,2019,98
3,6,2019,90
4,6,2019,97
5,6,2019,94
12,6,2019,68
13,6,2019,73
14,6,2019,67
15,6,2019,81
23,6,2019,40
24,6,2019,45
25,6,2019,61
26,6,2019,68
27,6,2019,57
28,6,2019,65
29,6,2019,72
30,6,2019,73
1,1,2019,63
2,1,2019,76
3,1,2019,80
4,1,2019,63
5,1,2019,69
6,1,2019,84
7,1,2019,61
8,1,2019,91
9,1,2019,76
10,1,2019,66
11,1,2019,87
12,1,2019,88
13,1,2019,104
14,1,2019,99
15,1,2019,118
16,1,2019,99
17,1,2019,86
18,1,2019,82
19,1,2019,90
20,1,2019,107
21,1,2019,91
22,1,2019,111
23,1,2019,114
24,1,2019,108
25,1,2019,121
26,1,2019,115
27,1,2019,105
28,1,2019,123
29,1,2019,104
30,1,2019,85
31,1,2019,87
